DATE;HOUR;MINUTE;AVG;MIN;MAX;HH;H;L;LL;MEASURE
20160115;16;;143.75;;;;;;;Rh/h
20160115;17;;143.65;;;;;;;Rh/h
20160115;18;;143.78;;;;;;;Rh/h
20160115;19;;143.63;;;;;;;Rh/h
20160115;20;;143.5;;;;;;;Rh/h
20160115;21;;143.68;;;;;;;Rh/h
20160115;22;;143.72;;;;;;;Rh/h
20160115;23;;143.68;;;;;;;Rh/h
20160116;0;;143.66;;;;;;;Rh/h
20160116;1;;143.73;;;;;;;Rh/h
20160116;2;;143.73;;;;;;;Rh/h
20160116;3;;143.82;;;;;;;Rh/h
20160116;4;;143.72;;;;;;;Rh/h
20160116;5;;143.79;;;;;;;Rh/h
20160116;6;;143.72;;;;;;;Rh/h
20160116;7;;143.56;;;;;;;Rh/h
20160116;8;;143.57;;;;;;;Rh/h
20160116;9;;143.7;;;;;;;Rh/h
20160116;10;;143.54;;;;;;;Rh/h
20160116;11;;143.5;;;;;;;Rh/h
20160116;12;;143.62;;;;;;;Rh/h
20160116;13;;143.7;;;;;;;Rh/h
20160116;14;;143.62;;;;;;;Rh/h
20160116;15;;143.71;;;;;;;Rh/h
20160116;16;;143.82;;;;;;;Rh/h
20160116;17;;143.75;;;;;;;Rh/h
20160116;18;;143.91;;;;;;;Rh/h
20160116;19;;143.46;;;;;;;Rh/h
20160116;20;;143.46;;;;;;;Rh/h
20160116;21;;143.32;;;;;;;Rh/h
20160116;22;;143.43;;;;;;;Rh/h
20160116;23;;143.29;;;;;;;Rh/h
20160117;0;;143.32;;;;;;;Rh/h
20160117;1;;143.31;;;;;;;Rh/h
20160117;2;;143.31;;;;;;;Rh/h
20160117;3;;143.26;;;;;;;Rh/h
20160117;4;;143.26;;;;;;;Rh/h
20160117;5;;143.33;;;;;;;Rh/h
20160117;6;;143.15;;;;;;;Rh/h
20160117;7;;143.16;;;;;;;Rh/h
20160117;8;;143.23;;;;;;;Rh/h
20160117;9;;143.33;;;;;;;Rh/h
20160117;10;;143.36;;;;;;;Rh/h
20160117;11;;143.31;;;;;;;Rh/h
20160117;12;;143.3;;;;;;;Rh/h
20160117;13;;143.33;;;;;;;Rh/h
20160117;14;;143.27;;;;;;;Rh/h
20160117;15;;143.35;;;;;;;Rh/h
20160117;16;;143.43;;;;;;;Rh/h
20160117;17;;143.57;;;;;;;Rh/h
20160117;18;;143.37;;;;;;;Rh/h
20160117;19;;143.55;;;;;;;Rh/h
20160117;20;;143.52;;;;;;;Rh/h
20160117;21;;143.41;;;;;;;Rh/h
20160117;22;;143.34;;;;;;;Rh/h
20160117;23;;143.39;;;;;;;Rh/h
20160118;0;;143.41;;;;;;;Rh/h
20160118;1;;143.36;;;;;;;Rh/h
20160118;2;;143.4;;;;;;;Rh/h
20160118;3;;143.41;;;;;;;Rh/h
20160118;4;;143.27;;;;;;;Rh/h
20160118;5;;143.29;;;;;;;Rh/h
20160118;6;;143.38;;;;;;;Rh/h
20160118;7;;143.52;;;;;;;Rh/h
20160118;8;;143.45;;;;;;;Rh/h
20160118;9;;143.37;;;;;;;Rh/h
20160118;10;;143.37;;;;;;;Rh/h
20160118;11;;143.3;;;;;;;Rh/h
20160118;12;;143.45;;;;;;;Rh/h
20160118;13;;143.21;;;;;;;Rh/h
20160118;14;;143.26;;;;;;;Rh/h
20160118;15;;143.38;;;;;;;Rh/h
20160118;16;;143.49;;;;;;;Rh/h
20160118;17;;143.41;;;;;;;Rh/h
20160118;18;;143.44;;;;;;;Rh/h
20160118;19;;143.43;;;;;;;Rh/h
20160118;20;;143.43;;;;;;;Rh/h
20160118;21;;143.29;;;;;;;Rh/h
20160118;22;;143.43;;;;;;;Rh/h
20160118;23;;143.42;;;;;;;Rh/h
20160119;0;;143.41;;;;;;;Rh/h
20160119;1;;143.42;;;;;;;Rh/h
20160119;2;;143.43;;;;;;;Rh/h
20160119;3;;143.28;;;;;;;Rh/h
20160119;4;;143.36;;;;;;;Rh/h
20160119;5;;143.36;;;;;;;Rh/h
20160119;6;;143.47;;;;;;;Rh/h
20160119;7;;143.46;;;;;;;Rh/h
20160119;8;;143.48;;;;;;;Rh/h
20160119;9;;143.28;;;;;;;Rh/h
20160119;10;;143.29;;;;;;;Rh/h
20160119;11;;143.27;;;;;;;Rh/h
20160119;12;;143.25;;;;;;;Rh/h
20160119;13;;143.35;;;;;;;Rh/h
20160119;14;;143.29;;;;;;;Rh/h
20160119;15;;143.28;;;;;;;Rh/h
20160119;16;;143.31;;;;;;;Rh/h
20160119;17;;143.45;;;;;;;Rh/h
20160119;18;;143.32;;;;;;;Rh/h
20160119;19;;143.42;;;;;;;Rh/h
20160119;20;;143.46;;;;;;;Rh/h
20160119;21;;143.38;;;;;;;Rh/h
20160119;22;;143.29;;;;;;;Rh/h
20160119;23;;143.21;;;;;;;Rh/h
20160120;0;;143.46;;;;;;;Rh/h
20160120;1;;143.45;;;;;;;Rh/h
20160120;2;;143.35;;;;;;;Rh/h
20160120;3;;143.25;;;;;;;Rh/h
20160120;4;;143.33;;;;;;;Rh/h
20160120;5;;143.16;;;;;;;Rh/h
20160120;6;;143.3;;;;;;;Rh/h
20160120;7;;143.12;;;;;;;Rh/h
20160120;8;;143.17;;;;;;;Rh/h
20160120;9;;143.03;;;;;;;Rh/h
20160120;10;;142.99;;;;;;;Rh/h
20160120;11;;143.03;;;;;;;Rh/h
20160120;12;;143.1;;;;;;;Rh/h
20160120;13;;143.1;;;;;;;Rh/h
20160120;14;;143.3;;;;;;;Rh/h
20160120;15;;143.39;;;;;;;Rh/h
20160120;16;;143.21;;;;;;;Rh/h
20160120;17;;143.2;;;;;;;Rh/h
20160120;18;;143.35;;;;;;;Rh/h
20160120;19;;143.31;;;;;;;Rh/h
20160120;20;;143.19;;;;;;;Rh/h
20160120;21;;143.26;;;;;;;Rh/h
20160120;22;;143.3;;;;;;;Rh/h
20160120;23;;143.25;;;;;;;Rh/h
20160121;0;;143.15;;;;;;;Rh/h
20160121;1;;143.3;;;;;;;Rh/h
20160121;2;;143.18;;;;;;;Rh/h
20160121;3;;143.32;;;;;;;Rh/h
20160121;4;;143.34;;;;;;;Rh/h
20160121;5;;143.21;;;;;;;Rh/h
20160121;6;;143.24;;;;;;;Rh/h
20160121;7;;143.24;;;;;;;Rh/h
20160121;8;;143.18;;;;;;;Rh/h
20160121;9;;143.16;;;;;;;Rh/h
20160121;10;;143.15;;;;;;;Rh/h
20160121;11;;143.15;;;;;;;Rh/h
20160121;12;;143.27;;;;;;;Rh/h
20160121;13;;143.29;;;;;;;Rh/h
20160121;14;;143.22;;;;;;;Rh/h
20160121;15;;143.24;;;;;;;Rh/h
20160121;16;;143.16;;;;;;;Rh/h
20160121;17;;143.21;;;;;;;Rh/h
20160121;18;;143.17;;;;;;;Rh/h
20160121;19;;143.18;;;;;;;Rh/h
20160121;20;;143.21;;;;;;;Rh/h
20160121;21;;143.3;;;;;;;Rh/h
20160121;22;;143.27;;;;;;;Rh/h
20160121;23;;143.37;;;;;;;Rh/h
20160122;0;;143.3;;;;;;;Rh/h
20160122;1;;143.24;;;;;;;Rh/h
20160122;2;;143.3;;;;;;;Rh/h
20160122;3;;143.26;;;;;;;Rh/h
20160122;4;;143.26;;;;;;;Rh/h
20160122;5;;143.06;;;;;;;Rh/h
20160122;6;;143.18;;;;;;;Rh/h
20160122;7;;142.96;;;;;;;Rh/h
20160122;8;;143;;;;;;;Rh/h
20160122;9;;142.98;;;;;;;Rh/h
20160122;10;;142.93;;;;;;;Rh/h
20160122;11;;142.91;;;;;;;Rh/h
20160122;12;;142.93;;;;;;;Rh/h
20160122;13;;143.03;;;;;;;Rh/h
20160122;14;;143.19;;;;;;;Rh/h
20160122;15;;143.07;;;;;;;Rh/h
20160122;16;;143.11;;;;;;;Rh/h
20160122;17;;143.01;;;;;;;Rh/h
20160122;18;;143.1;;;;;;;Rh/h
20160122;19;;142.95;;;;;;;Rh/h
20160122;20;;142.95;;;;;;;Rh/h
20160122;21;;142.97;;;;;;;Rh/h
20160122;22;;143.03;;;;;;;Rh/h
20160122;23;;142.92;;;;;;;Rh/h
20160123;0;;143.04;;;;;;;Rh/h
20160123;1;;143.07;;;;;;;Rh/h
20160123;2;;143.09;;;;;;;Rh/h
20160123;3;;143.26;;;;;;;Rh/h
20160123;4;;143.14;;;;;;;Rh/h
20160123;5;;143.1;;;;;;;Rh/h
20160123;6;;143.02;;;;;;;Rh/h
20160123;7;;143.04;;;;;;;Rh/h
20160123;8;;142.98;;;;;;;Rh/h
20160123;9;;143.2;;;;;;;Rh/h
20160123;10;;143.21;;;;;;;Rh/h
20160123;11;;143.07;;;;;;;Rh/h
20160123;12;;143.08;;;;;;;Rh/h
20160123;13;;143.13;;;;;;;Rh/h
20160123;14;;142.95;;;;;;;Rh/h
20160123;15;;143;;;;;;;Rh/h
20160123;16;;143.09;;;;;;;Rh/h
20160123;17;;142.95;;;;;;;Rh/h
20160123;18;;142.83;;;;;;;Rh/h
20160123;19;;142.83;;;;;;;Rh/h
20160123;20;;142.9;;;;;;;Rh/h
20160123;21;;142.85;;;;;;;Rh/h
20160123;22;;142.88;;;;;;;Rh/h
20160123;23;;142.74;;;;;;;Rh/h
20160124;0;;142.87;;;;;;;Rh/h
